Sample	GeneticVar	GeneDiversity	Passage	Batch
A10-10	58.9351893499999	0.999407368990876	8	A
A10-11	62.4948260500001	0.999409511251376	8	A
A10-12	46.2175491499996	0.999351081418122	8	A
A10-13	46.7188705199998	0.999353285395627	8	A
A10-14	45.4871778599996	0.999352932032405	8	A
A10-15	45.9239397400001	0.999425714939437	8	A
A10-9	58.0064311400009	0.999417290478213	8	A
A2	6.45608508000001	0.999371172336008	0	A
A26-10	46.2018861299996	0.999422887063867	24	A
A26-11	59.1933115900004	0.999357701084631	24	A
A26-12	58.0988473400004	0.99929743962089	24	A
A26-13	56.5105381000004	0.99927079896964	24	A
A26-14	53.9636294700006	0.99933781103272	24	A
A26-15	54.3208961000003	0.999387847734781	24	A
A26-9	46.3996585299995	0.999429963703791	24	A
A4-10	10.2387257300009	0.999449899774265	2	A
A4-11	9.14447468000062	0.999449258666037	2	A
A4-12	8.3416918199999	0.999448866746893	2	A
A4-13	8.68068380000048	0.999449479613025	2	A
A4-14	9.01253551000079	0.999449806159352	2	A
A4-15	8.28265382999993	0.999449752542866	2	A
A4-9	9.29910264000015	0.999449087827592	2	A
A6-10	8.90680508000093	0.999382901138902	4	A
A6-11	8.8680547300008	0.999449202039484	4	A
A6-12	8.69662795000101	0.99944907408762	4	A
A6-13	8.13796159000117	0.999449210444392	4	A
A6-14	8.97551667000087	0.999449285564732	4	A
A6-15	8.47192575000036	0.999449931237219	4	A
A6-9	9.13127670000096	0.999448912749725	4	A
A8-10	13.2170119200013	0.999429873518956	6	A
A8-11	14.2979883900005	0.999449322667139	6	A
A8-12	13.6414238900006	0.999423983316816	6	A
A8-13	14.0444379300008	0.999450537826805	6	A
A8-14	13.1066012800013	0.999437030146295	6	A
A8-15	13.8925886500006	0.999449778877615	6	A
A8-9	13.1659138000004	0.999449717932987	6	A
B10-1	51.9355664300002	0.999422594496618	8	B
B10-2	51.6419187300001	0.999424840233601	8	B
B10-3	50.45013938	0.999345740080226	8	B
B10-4	52.44736598	0.999412408839075	8	B
B10-5	53.0982441499999	0.99934511122778	8	B
B10-6	60.5038066800003	0.999338131719364	8	B
B10-7	58.8598096700007	0.999421260788894	8	B
B2	6.71102079000004	0.999374997702533	0	B
B26-1	60.1278559600005	0.99941642724241	24	B
B26-2	58.9720330300006	0.99933082688611	24	B
B26-3	60.8574344799999	0.999342271077552	24	B
B26-4	61.2422656100002	0.99926054472314	24	B
B26-5	61.3572009500003	0.999380470422369	24	B
B26-6	61.6321395100001	0.999404706584081	24	B
B26-7	58.2824913600001	0.999415517646689	24	B
B4-1	8.29150275000102	0.999449693467831	2	B
B4-2	9.67876092000072	0.999449312641183	2	B
B4-3	8.5065825999998	0.999449125578103	2	B
B4-4	8.45078835000103	0.999449590085732	2	B
B4-5	8.36760415000069	0.999449481213623	2	B
B4-6	8.84250202000094	0.999448993394683	2	B
B4-7	7.76086157000062	0.999449469999213	2	B
B6-1	9.2411111700003	0.999449835706308	4	B
B6-2	9.47361484000073	0.999449773072204	4	B
B6-3	8.55534146000112	0.999449861684757	4	B
B6-4	8.79318765000078	0.999448850688218	4	B
B6-5	8.75351448000071	0.999449277527135	4	B
B6-6	10.0308915900006	0.99944947236039	4	B
B6-7	8.87440411000094	0.999450000323266	4	B
B8-1	13.7234090800005	0.999449599581564	6	B
B8-2	13.4058831300013	0.999449896423627	6	B
B8-3	13.0509569100006	0.999450169648419	6	B
B8-4	13.9316213300006	0.999448900529338	6	B
B8-5	13.5277281700001	0.999449805582036	6	B
B8-6	13.3733515600004	0.999449799556395	6	B
B8-7	13.9175805800006	0.999449141149913	6	B
FSC237ClpB	50.8428413000001	0.999424668971213	0	NA
